1589  F-永冠01900000010110985001272013111508050101000      
1590  F-亞德01900400010103778000782013111508050101000      
1591  F-駿吉105000000102                        01000      
1593  祺驊  117000000102                        01000      
1595  川寶  12300000010216735000002013111508050101000      
1597  直得  10500000010224575000062013111508050101000      
1599  宏佳騰10500000010222572000092013111508050101000      
1603  華電  02000000010168610000392013111508050101000      
1604  聲寶  02000000010186594002292013111508050101000      
1605  華新  02000420010199999014532013111508050101000      
1608  華榮  02000000010181909001592013111508050101000      
1609  大亞  02000000010199999001572013111508050101000      
1611  中電  02000000010170194000522013111508050101000      
16111 中電一101000008002                        01000      
16112 中電二101000008002                        01000      
1612  宏泰  02000000010192967004212013111508050101000      
1613  台一  02000000010199999000642013111508050101000      
1614  三洋電02000000010124582000052013111508050101000      
1615  大山  02000000010190286000002013111508050101000      
1616  億泰  020000000101                        01000      
1617  榮星  02000000010198466000962013111508050101000      
16172 榮星二101000008002                        01000      
1618  合機  02000000010196079001492013111508050101000      
1626  F-艾美02000000010111459000002013111508050101000      
1701  中化  00500000010139120001302013111508050101000      
1702  南僑  01600000010120244002332013111508050101000      
1704  榮化  00400400010125113000962013111508050101000      
17043 榮化三101000008002                        01000      
1707  葡萄王00500000010106776000162013111508050101000      
1708  東鹼  00400000010129140000192013111508050101000      
1709  和益  00400000010165175000012013111508050101000      
1710  東聯  00400400010130354000852013111508050101000      
1711  永光  00400000010135387002182013111508050101000      
1712  興農  00400000010155683002252013111508050101000      
17121 興農一101000008002                        01000      
1713  國化  00400000010152791000002013111508050101000      
1714  和桐  00400000010164318001342013111508050101000      
1715  萬洲  01700000010155708000002013111508050101000      
17151 萬洲一101000008002                        01000      
1717  長興  00400420010134899000182013111508050101000      
1718  中纖  00400000010173424012362013111508050101000      
1720  生達  00500000010118916001052013111508050101000      
1721  三晃  004000000101                        01000      
1722  台肥  00400030010112917001212013111508050101000      
1723  中碳  00400400010105348000002013111508050101000      
1724  台硝  00400000010159762000132013111508050101000      
1725  元禎  00400000010173203000002013111508050101000      
1726  永記  00400000010112906000002013111508050101000      
1727  中華化00400000010154344000322013111508050101000      
1729  必翔  00500000010130901004642013111508050101000      
17292 必翔二101000008002                        01000      
1730  花仙子00400000010135790000292013111508050101000      
1731  美吾華00500000010157810000552013111508050101000      
1732  毛寶  00400000010173373000192013111508050101000      
1733  五鼎  00500000010112554000252013111508050101000      
17331 五鼎一101000008002                        01000      
1734  杏輝  00500000010118725001952013111508050101000      
1735  日勝化00400000010173699000002013111508050101000      
1736  喬山  00500000010111550000102013111508050101000      
1737  臺鹽  00400000010137435002502013111508050101000      
1742  台蠟  10700000010260867000002013111508050101000      
1752  南光  11700000010230878000072013111508050101000      
17521 南光一101000008002                        01000      
1762  中化生00500000010117053000682013111508050101000      
1773  勝一  00400000010118501000002013111508050101000      
1777  生泰  117000000102                        01000      
1781  合世  11700000010231937000712013111508050101000      
1784  訊聯  11700000010226416001132013111508050101000      
1785  光洋科13100000010244886001242013111508050101000      
1786  科妍  005000000101                        01000      
1787  福盈科10700000010265619000312013111508050101000      
17872 福盈二101000008002                        01000      
1788  杏昌  11700000010212167000002013111508050101000      
1789  神隆  00500400010109763000582013111508050101000      
1795  美時  11700000010221022005102013111508050101000      
17953 美時三101000008002                        01000      
1799  紅電醫117000000102                        01000      
1802  台玻  02200420010131050000182013111508050101000      
1805  寶徠  028000000101                        01000      
1806  冠軍  02200000010173624003842013111508050101000      
1808  潤隆  02800000010130110000212013111508050101000      
18081 潤隆一101000008002                        01000      
18082 潤隆二101000008002                        01000      
18083 潤隆三101000008002                        01000      
1809  中釉  02200000010166840000282013111508050101000      
1810  和成  02200000010185072001112013111508050101000      
1813  寶利徠11700000010230860000272013111508050101000      
1815  富喬  12300000010299999003752013111508050101000      
18153 富喬三101000008002                        01000      
18154 富喬四101000008002                        01000      
1817  凱撒衛022000000101                        01000      
1902  台紙  02300000010173637000672013111508050101000      
1903  士紙  02300000010119603000562013111508050101000      
1904  正隆  02300000010165660000002013111508050101000      
1905  華紙  02300000010198152000852013111508050101000      
1906  寶隆  02300000010199999000002013111508050101000      
1907  永豐餘02300400010161293003222013111508050101000      
1909  榮成  02300000010176980001952013111508050101000      
2002  中鋼  02400030010136098002252013111508050101000      
2002A 中鋼特024000000801                        01000      
2006  東鋼  02400420010135499000112013111508050101000      
20065 東鋼五101000008002                        01000      
20066 東鋼六101000008002                        01000      
2007  燁興  024000000101                        01000      
2008  高興昌024001000101                        01000      
2009  第一銅02400000010199999000002013111508050101000      
2010  春源  02400000010181298000322013111508050101000      
2012  春雨  02400000010182074000002013111508050101000      
2013  中鋼構02400000010125504000002013111508050101000      
2014  中鴻  024000000101                        01000      
2015  豐興  02400420010117161000002013111508050101000      
2017  官田鋼02400000010199999001132013111508050101000      
2020  美亞  02400000010165885000092013111508050101000      
2022  聚亨  02400000010199999002042013111508050101000      
20224 聚亨四101000008002                        01000      
2023  燁輝  02400000010199999004032013111508050101000      
2024  志聯  024000000101                        01000      
2025  千興  024000000101                        01000      
2027  大成鋼02400000010166826000402013111508050101000      
2028  威致  024000000101                        01000      
2029  盛餘  02400000010143387000092013111508050101000      
2030  彰源  02400000010199999000652013111508050101000      
2031  新光鋼02400000010149559001742013111508050101000      
2032  新鋼  02400000010186795000082013111508050101000      
2033  佳大  02400000010190466000002013111508050101000      
2034  允強  02400000010145226000182013111508050101000      
2035  唐榮  10800000010238692000002013111508050101000      
2038  海光  02400000010198163000682013111508050101000      
2049  上銀  01900400010103820000442013111508050101000      
2059  川湖  04000000010103227000002013111508050101000      
20592 川湖二101000008002                        01000      
2061  風青  106000000102                        01000      
20611 風青一101000008002                        01000      
2062  橋椿  03300000010110862000002013111508050101000      
2063  世鎧  10800000010247889000392013111508050101000      
2066  世德  105000000102                        01000      
2101  南港  02500400010124642003692013111508050101000      
21011 南港一101000008002                        01000      
2102  泰豐  02500000010140378004762013111508050101000      
2103  台橡  02500400010119133000002013111508050101000      
2104  中橡  02500000010133981000652013111508050101000      
2105  正新  02500030010112054001402013111508050101000      
2106  建大  02500400010115611000612013111508050101000      
2107  厚生  02500000010131812000962013111508050101000      
2108  南帝  02500000010146992000202013111508050101000      
2109  華豐  025000000101                        01000      
2114  鑫永銓02500000010111232000582013111508050101000      
2201  裕隆  02600030010118052000982013111508050101000      
2204  中華  02600400010133706000342013111508050101000      
2206  三陽  02600400010117383029052013111508050101000      
2207  和泰車02600010010102766000002013111508050101000      
2208  台船  02900000010149042000162013111508050101000      
2221  大甲  13000000010281765000002013111508050101000      
2227  裕日車026004000101                        01000      
2230  泰茂  10500000010256281000002013111508050101000      
2231  為升  01900000010109455000002013111508050101000      
22311 為升一101000008002                        01000      
2233  宇隆  10500000010210114000422013111508050101000      
2301  光寶科03700030010118706000112013111508050101000      
2302  麗正  036000000101                        01000      
2303  聯電  03600030010172619012232013111508050101000      
2305  全友  037000000101                        01000      
2308  台達電04000030010106276000002013111508050101000      
2311  日月光03600030010130853000482013111508050101000      
2312  金寶  04300000010173585012002013111508050101000      
2313  華通  04000000010154629006212013111508050101000      
2314  台揚  03900000010151085000542013111508050101000      
2316  楠梓電04000000010171259001092013111508050101000      
2317  鴻海  04300030010109529024422013111508050101000      
2321  東訊  039001000101                        01000      
2323  中環  03800020010199999023582013111508050101000      
2324  仁寶  03700030010141330002432013111508050101000      
2325  矽品  03600030010126569001192013111508050101000      
2327  國巨  04000400010188611003432013111508050101000      
2328  廣宇  04000000010140377002602013111508050101000      
2329  華泰  036000000101                        01000      
2330  台積電03600030010108600000302013111508050101000      
2332  友訊  03900000010153934004342013111508050101000      
23323 友訊三101000008002                        01000      
2337  旺宏  036004200101                        01000      
2338  光罩  03600000010197471000192013111508050101000      
2340  光磊  03800000010179366001722013111508050101000      
2342  茂矽  036000000101                        01000      
2344  華邦電036004000101                        01000      
2345  智邦  03900000010157618000602013111508050101000      
2347  聯強  04100420010119919001632013111508050101000      
23472 聯強二101000008002                        01000      
2348  海悅  041001000101                        01000      
2349  錸德  038000000101                        01000      
2351  順德  03600000010125647001562013111508050101000      
2352  佳世達037000200101                        01000      
2353  宏碁  03700420010154516005052013111508050101000      
23532 宏碁二101000008002                        01000      
2354  鴻準  04300030010112411005882013111508050101000      
2355  敬鵬  04000000010119367000712013111508050101000      
2356  英業達03700420010140593001082013111508050101000      
2357  華碩  03700030010103829001252013111508050101000      
2358  美格  037000000101                        01000      
2359  所羅門04100000010170480000442013111508050101000      
2360  致茂  04300400010115311000292013111508050101000      
2361  鴻友  037001000101                        01000      
2362  藍天  03700400010114705001452013111508050101000      
2363  矽統  03600000010199999001692013111508050101000      
2364  倫飛  037000000101                        01000      
2365  昆盈  03700000010179116000712013111508050101000      
2367  燿華  04000000010179896003712013111508050101000      
2368  金像電04000000010199999002152013111508050101000      
2369  菱生  03600000010160685001012013111508050101000      
2371  大同  01900020010199999070802013111508050101000      
2373  震旦行04300000010115493000082013111508050101000      
2374  佳能  03800000010144018000092013111508050101000      
2375  智寶  040000000101                        01000      
2376  技嘉  03700000010128185000132013111508050101000      
2377  微星  03700000010145692002692013111508050101000      
2379  瑞昱  03600420010112395000782013111508050101000      
2380  虹光  03700000010188862000652013111508050101000      
2382  廣達  03700030010113571001712013111508050101000      
2383  台光電04000000010135403006742013111508050101000      
23833 台光三101000008002                        01000      
2384  勝華  03800400010189354000762013111508050101000      
2385  群光  03700400010112581000342013111508050101000      
2387  精元  03700000010180589000112013111508050101000      
2388  威盛  036000000101                        01000      
2390  云辰  04300000010153471002242013111508050101000      
2392  正崴  04000420010115353002012013111508050101000      
2393  億光  03800020010117054001072013111508050101000      
2395  研華  03700420010104942000002013111508050101000      
23952 研華二101000008002                        01000      
2397  友通  03700000010128318000192013111508050101000      
2399  映泰  03700000010183956000222013111508050101000      
2401  凌陽  03600000010188095002282013111508050101000      
2402  毅嘉  03900000010160733002662013111508050101000      
2404  漢唐  04300000010127767000482013111508050101000      
2405  浩鑫  03700000010181849002112013111508050101000      
2406  國碩  03800000010137717005472013111508050101000      
240601國碩E1101000000102                        01000      
24061 國碩一101000008002                        01000      
24062 國碩二101000008002                        01000      
2408  南科  036001200101                        01000      
2409  友達  03800030010192664035082013111508050101000      
2412  中華電03900030010109804000062013111508050101000      
2413  環科  04000000010199999001042013111508050101000      
2414  精技  04100000010166142000002013111508050101000      
2415  錩新  04000000010164235000162013111508050101000      
2417  圓剛  03700000010175639002052013111508050101000      
2419  仲琦  03900000010157283002192013111508050101000      
24192 仲琦二101000008002                        01000      
24193 仲琦三101000008002                        01000      
2420  新巨  04000000010130794000632013111508050101000      
2421  建準  04000000010152141000382013111508050101000      
2423  固緯  04300000010151297000002013111508050101000      
2424  隴華  03700000010121527000132013111508050101000      
2425  承啟  03700000010120069000292013111508050101000      
2426  鼎元  038000000101                        01000      
2427  三商電04200000010199999000912013111508050101000      
2428  興勤  04000000010125957001002013111508050101000      
24283 興勤三101000008002                        01000      
2429  銘旺科040001000101                        01000      
2430  燦坤  04100000010122782000052013111508050101000      
2431  聯昌  04000000010166025001132013111508050101000      
2433  互盛電04300000010119362000012013111508050101000      
2434  統懋  036000000101                        01000      
2436  偉詮電03600000010140538010072013111508050101000      
2437  旺詮  04000000010121035000002013111508050101000      
2438  英誌  037001000101                        01000      
2439  美律  03900000010108858000672013111508050101000      
2440  太空梭040000000101                        01000      
2441  超豐  03600000010135322000042013111508050101000      
2442  新美齊03700000010199999000822013111508050101000      
24422 美齊二101000008002                        01000      
2443  新利虹038001000101                        01000      
2444  友旺  039000000101                        01000      
2448  晶電  03800420010119317003152013111508050101000      
2449  京元電03600400010147882001202013111508050101000      
2450  神腦  03900400010109921000072013111508050101000      
2451  創見  03600420010110149000002013111508050101000      
2453  凌群  04200000010162164000672013111508050101000      
2454  聯發科03600030010102024000152013111508050101000      
2455  全新  03900000010133490003522013111508050101000      
2456  奇力新04000000010132747003032013111508050101000      
2457  飛宏  04000000010152379000872013111508050101000      
2458  義隆  03600400010120007005372013111508050101000      
2459  敦吉  04100000010129474000732013111508050101000      
2460  建通  04000000010176784000482013111508050101000      
2461  光群雷04300000010155725005462013111508050101000      
24612 光群二101000008002                        01000      
2462  良得電04000000010136525000112013111508050101000      
24622 良得二101000008002                        01000      
24623 良得三101000008002                        01000      
2464  盟立  04300000010139246000002013111508050101000      
2465  麗臺  037000000101                        01000      
2466  冠西電038000000101                        01000      
2467  志聖  04000000010144777002482013111508050101000      
2468  華經  04200000010185982000002013111508050101000      
2471  資通  04200000010151552000202013111508050101000      
2472  立隆電04000000010142035001482013111508050101000      
2474  可成  04300030010104817001092013111508050101000      
24742 可成二101000008002                        01000      
2475  華映  038001200101                        01000      
2476  鉅祥  04000000010145824001202013111508050101000      
2477  美隆電04300000010147977000352013111508050101000      
2478  大毅  04000000010162682000052013111508050101000      
24781 大毅一101000008002                        01000      
2480  敦陽科04200000010129879000052013111508050101000      
2481  強茂  03600000010166719000802013111508050101000      
24816 強茂六101000008002                        01000      
24817 強茂七101000008002                        01000      
