序,證券商,成交單價,買進股數,賣出股數
647,983B,34.20,"1,000",0
648,983B,34.25,"2,000",0
649,983e  元大劍潭,34.50,"1,000",0
650,983j  元大仁愛,33.85,"2,000",0
651,983J  元大新東,34.30,0,"5,000"
652,983U  元大頭份,34.30,0,"10,000"
653,984U  元大延平,34.70,0,"2,000"
654,9853  元大南屯,33.80,"1,000",0
655,9854  元大文心,34.05,"1,000",0
656,9854,34.65,0,"1,000"
657,9856  元大花中,33.80,0,"1,000"
658,9857  元大東蘆,33.85,"3,000",0
659,9857,34.70,"5,000",0
660,9858  元大龍潭,33.95,"1,000",0
661,9858,34.15,0,"1,000"
662,9858,34.20,"3,000","1,000"
663,9859  元大經國,34.00,"1,000",0
664,985B  元大長安,33.80,"1,000",0
665,985B,33.95,0,"3,000"
666,985B,34.60,"2,000",0
667,985C  元大鳳中,34.65,0,"1,000"
668,985D  元大文山,34.20,"1,000",0
669,9862  元大南京,33.70,"1,000",0
670,9862,34.10,"1,000",0
671,9862,34.65,0,"1,000"
672,9869  元大新盛,33.80,0,"27,000"
673,9869,34.05,"1,000",0
674,9869,34.60,"2,000",0
675,986K  元大基孝,33.80,0,"1,000"
676,986K,33.95,"1,000",0
677,986K,34.10,"3,000","2,000"
678,986K,34.25,"1,000",0
679,986K,34.65,0,490
680,9871  元大忠孝,34.10,0,"1,000"
681,9871,34.20,"5,000",0
682,9871,34.30,"5,000",0
683,9871,34.70,0,"1,000"
684,9872  元大復北,33.70,"1,000",0
685,9874  元大雙和,33.75,"1,000",0
686,9874,33.85,"2,000",0
687,9874,34.00,"1,000",0
688,9874,34.05,0,"1,000"
689,9874,34.15,0,"1,000"
690,9874,34.20,0,"1,000"
691,9874,34.65,0,"1,000"
692,9876  元大前金,33.90,"1,000",0
693,9878  元大赤崁,33.80,"98,000",0
694,9879  元大板三,33.80,"3,000",0
695,9883  元大中華,33.75,0,"1,000"
696,9887  元大經紀,33.90,0,"1,000"
697,9888  元大鑫永,34.10,"2,000",0
698,988B  元大藝文,34.30,0,"1,000"
699,9893  元大大天,33.90,"1,000",0
700,9893,33.95,"1,000",0
701,9893,34.00,"1,000",0
702,9893,34.10,"1,000",0
703,9893,34.20,"2,000","2,000"
704,9893,34.30,"1,000",0
705,9893,34.70,"2,000",0
706,9898  元大新莊,33.80,"1,000",0
707,9898,33.85,"1,000",0
708,9898,34.70,"1,000",0
709,989A  元大北投,34.35,0,"1,000"
710,989C  元大板橋,33.85,"1,000",0
711,989C,34.05,"1,000",0
712,989C,34.20,"1,000",0
713,989d  元大北屯,33.90,0,"1,000"
714,989D  元大左營,34.30,0,"1,000"
715,989e  元大中和,34.00,0,"1,000"
716,989E  元大草屯,33.85,"3,000",0
717,989F  元大高雄,34.05,"1,000",0
718,989g  元大嘉義,34.10,"3,000",0
719,989G  元大大同,34.10,0,"1,000"
720,989G,34.30,0,"2,000"
721,989i  元大西湖,34.20,0,"18,000"
722,989i,34.30,0,"2,000"
723,989j  元大樹林,33.75,"2,000",0
724,989j,33.85,"2,000",0
725,989j,33.95,"2,000",0
726,989j,34.05,"2,000",0
727,989j,34.10,"2,000",0
728,989j,34.20,"4,000",0
729,989j,34.30,"2,000",0
730,989j,34.50,"2,000",0
731,989m  元大信義,33.80,"1,000",0
732,989m,34.10,"1,000",0
733,989m,34.65,0,"2,330"
734,989N  元大內湖,34.25,"2,000",0
735,989N,34.65,0,"4,000"
736,989Q  元大汐止,34.60,"2,000",0
737,989Q,34.70,"1,000",0
738,989S  元大鹿港,33.80,"1,000",0
739,989S,33.85,0,"3,000"
740,989W  元大站前,33.90,"5,000",0
741,989W,33.95,"10,000",0
742,989W,34.55,"5,000",0
743,989W,34.65,0,"5,000"
744,989Y  元大基隆,33.90,0,"1,000"
745,989Y,33.95,"2,000",0
746,989Y,34.30,"1,000",0
747,989Z  元大小港,34.30,"1,000",0
748,9A00  永豐金,34.20,0,"3,000"
749,9A00,34.25,0,"1,000"
750,9A61  永豐鳳山,34.50,0,"1,000"
751,9A68  永豐五權,33.85,"2,000",0
752,9A69  永豐屏東,33.80,"1,000",0
753,9A69,33.95,"1,000",0
754,9A6J  永豐中山,33.85,"1,000",0
755,9A8F  永豐敦南,33.85,"1,000",0
756,9A8F,34.65,180,0
757,9A91  永豐松山,33.85,0,"1,000"
758,9A91,34.35,"1,000",0
759,9A91,34.60,0,"2,000"
760,9A92  永豐萬盛,34.25,"2,000",0
761,9A95  永豐金,34.25,0,"2,000"
762,9A95,34.50,0,"1,000"
763,9A95,34.65,0,"1,000"
764,9A99  永豐中壢,33.85,"2,000",0
765,9A99,34.25,"4,000",0
766,9A9d  永豐古亭,33.80,0,"1,000"
767,9A9e  永豐高雄,33.95,0,"1,000"
768,9A9g  永豐內湖,33.80,"1,000",0
769,9A9G  永豐天母,34.65,0,"9,000"
770,9A9J  永豐板新,34.00,0,"2,000"
771,9A9J,34.25,0,"3,000"
772,9A9K  永豐三重,34.65,200,0
773,9A9L  永豐台中,33.90,"2,000",0
774,9A9p  永豐府城,34.70,0,"2,000"
775,9A9q  永豐潮洲,33.80,"1,000",0
776,9A9q,33.95,"1,000",0
777,9A9q,34.65,0,"2,000"
778,9A9Q  永豐豐原,33.80,"10,000",0
779,9A9Q,34.20,"10,000",0
780,9A9s  永豐彰化,34.65,501,0
781,9A9v  永豐光復,34.00,0,"1,000"
782,9A9W  永豐南中,34.25,0,"4,000"
783,9A9x  永豐桃園,34.20,0,"1,000"
784,9A9x,34.70,0,"1,000"
785,9A9X  永豐竹科,34.65,0,"1,000"
