918z,群益宜蘭
9200,凱基
9202,凱基中港
9204,凱基台中
9205,凱基三重
9206,凱基高雄
9207,凱基永和
9208,凱基成功
9209,凱基岡山
920A,凱基板橋
920C,凱基雙和
920D,凱基市府
920E,凱基東門
920F,凱基站前
920G,凱基卦山
920H,凱基基隆
920M,凱基宜蘭
920N,凱基湖口
920V,凱基新店
920W,凱基大里
920Z,凱基台東
9211,凱基台南
9212,凱基東港
9215,凱基三民
9216,凱基信義
9217,凱基松山
9218,凱基大直
9219,凱基一心
921A,凱基大雅
921C,凱基民權
921E,凱基三峽
921F,凱基天母
921G,凱基五股
921H,凱基南京
921J,凱基土城
921M,凱基八德
921S,凱基幸福
921Y,凱基東勢
9221,凱基新竹
9223,凱基豐中
9224,凱基新莊
9225,凱基內埔
9226,凱基汐止
9227,凱基城中
9229,凱基中山
922C,凱基屏東
922H,凱基復興
9231,凱基員林
9232,凱基建成
9233,凱基長庚
9234,凱基竹北
9235,凱基永華
9236,凱基虎尾
9237,凱基敦北
9238,凱基士林
9239,凱基大業
9243,凱基七賢
9252,凱基嘉南
9254,凱基科園
9255,凱基和平
9256,凱基南崁
9257,凱基林口
9258,凱基羅東
9259,凱基北高
9265,凱基平鎮
9266,凱基新豐
9268,凱基台北
9269,凱基永春
9272,凱基竹科
9273,凱基竹東
9274,凱基鳳山
9275,凱基三多
9276,凱基苗栗
9278,凱基永康
9281,凱基斗六
9283,凱基北門
9285,凱基中壢
9287,凱基內湖
9288,凱基埔墘
9289,凱基興隆
9291,凱基大安
9294,凱基西屯
9296,凱基頭份
9297,凱基文心
9298,凱基延平
9300,華南永昌
9302,華南台中
9303,華南高雄
9304,華南基隆
9305,華南新莊
9306,華南台南
9307,華南大安
9308,華南麻豆
9309,華南古亭
9311,華南蘇澳
9312,華南民權
9313,華南大里
9314,華南嘉義
9315,華南苑裡
9316,華南淡水
9317,華南林口
9318,華南大同
9319,華南鶯歌
9321,華南佳里
9322,華南公誠
9323,華南小港
9324,華南岡山
9325,華南忠孝
9326,華南南京
9327,華南斗六
9328,華南潮州
9329,華南朴子
9331,華南鳳山
9332,華南楠梓
9333,華南長虹
9334,華南世貿
9335,華南鹽埕
9336,華南士林
9337,華南內壢
9339,華南竹北
9343,華南頭份
9347,華南敦南
9348,華南五權
9349,華南合泰
9352,華南桃園
9353,華南赤崁
9358,華南東勢
9359,華南中正
9362,華南苗栗
9363,華南彰化
9364,華南和平
9365,華南八里
9369,華南三重
9372,華南內湖
9373,華南新店
9386,華南東昇
9600,富邦
9602,富邦溪湖
9604,富邦陽明
9607,富邦古亭
9608,富邦台東
9611,富邦忠孝
9614,富邦基隆
9615,富邦木柵
9616,富邦岡山
9618,富邦大同
9621,富邦花蓮
9622,富邦園區
9623,富邦台北
9624,富邦竹北
9625,富邦竹東
9627,富邦內湖
9629,富邦士林
9634,富邦羅東
9636,富邦環北
9645,富邦南京
9647,富邦新華
9648,富邦林森
9651,富邦民生
9652,富邦世貿
9653,富邦延平
9654,富邦永和
9655,富邦板橋
9656,富邦三民
9657,富邦苗栗
9658,富邦建國
9659,富邦高雄
965K,富邦台中
965U,富邦彰化
9661,富邦新店
9663,富邦敦南
9664,富邦天母
9665,富邦桃園
9666,富邦南屯
9667,富邦台南
9668,富邦小北
966F,富邦左營
9671,富邦八德
9672,富邦員林
9673,富邦城中
9676,富邦仁愛
9677,富邦三重
9678,富邦北投
9679,富邦延吉
9682,富邦中壢
9686,富邦宜蘭
9689,富邦重慶
9692,富邦嘉義
9693,富邦新營
9694,富邦中山
9695,富邦民雄
9697,富邦虎尾
969C,富邦北港
9800,元大
9801,元大松江
9805,元大北天
980B,元大復興
980C,元大斗六
980D,元大開元
980K,元大竹科
980Q,元大南崁
980R,元大南海
980a,元大承德
980d,元大沙鹿
980e,元大清水
980g,元大大雅
980h,元大台北
980l,元大虎尾
980n,元大自由
980u,元大府城
