有價證券代號及名稱,
8079,誠遠
8080,奧斯特
8082,眾星
8083,瑞穎
8084,巨虹
8085,福華
8086,宏捷科
8088,品安
8091,翔名
8092,建暐
8093,保銳
8096,擎亞
8097,常珵
8099,大世科
8107,大億科
8109,博大
8111,立碁
8121,越峰
8147,正淩
8155,博智
8171,天宇
8176,智捷
8182,加高
8183,精星
8234,新漢
8240,華宏
8255,朋程
8266,中日新
8277,商丞
8287,英格爾
8289,泰藝
8291,尚茂
8299,群聯
8349,恒耀
8354,冠好
8358,金居
8383,千附
8390,金益鼎
8401,白紗科
8403,盛弘
8406,F-金可
8409,商之器
8410,森田
8416,實威
8418,F-必勝
8421,旭源
8423,F-保綠
8424,惠普
8426,F-紅木
8432,東生華
8433,弘帆
8435,鉅邁
8436,大江
8446,華研
8905,裕國
8906,花王
8908,欣雄
8913,全銓
8916,光隆
8917,欣泰
8921,沈氏
8923,時報
8924,大田
8925,偉盟
8927,北基
8928,鉅明
8929,富堡
8930,青鋼
8931,大汽電
8932,宏大
8933,愛地雅
8934,衡平
8935,邦泰
8936,國統
8937,合騏
8938,明安
8941,關中
8942,森鉅
9949,琉園
9950,萬國通
9951,皇田
9960,邁達康
9962,有益
